,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ROUND OF 32,NM1,,Aimer with chelly (EGOIST) - ninelie (REDSHiFT x Vesuvia remix) [Daydream],6.05,3:55,178,4,9.4,1018247,ProfessionalBox,no descriptions
,,NM2,,Rita - Tonitrus [Beyond The World],6.02,4:25,140,4,9.4,1935726,Frakturehawkens,just have fun
,,NM3,,Camellia - Lunatic Rough Party!! [taku's EXHAUST],5.98,1:53,120 - 400 (240),4.2,9.3,1892676,Ryuusei Aika,feel the vibe
,,NM4,,"sasakure.UK - Sennen to Rasen, Chiru Mono o feat. Sui [Descent]",6.09,4:24,220,4,9.5,1935864,Kalibe,maybe not if
,,NM5,,Nhato - Miss You [Selentia],5.68,6:05,132,4,9,381798,HanzeR,you miss
,,HD1,,Memme - Acid Burst [wa's Extra],6.13,2:03,180,4.2,9.2,725026,Priti,streams are here (and in other bits but mostly here)
,,HD2,,Foreground Eclipse - Flames Within These Black Feathers [Regou],5.16,3:24,195,4,8,152702,Saten,the most normal map in the pool
,,HR1,,AJURIKA - A Grain of Sand 1st [The King of Iron Fist],6.40,1:59,164,5.98,10,3865985,rosario wknd,Tech Ken
,,HR2,,Camellia - Chirality [liaoxingyao's Insane],5.93,1:37,127 - 201 (201),6.5,10,1464585,Suzuki_1112,used to be everywhere
,,DT1,,Weezer - The Good Life [Another],6.16,2:46,124 - 225 (161),4,9.67,3357259,attendant,i don't wanna be an old man anymore
,,DT2,,ATL - Magic people [Insane],6.32,2:20,260,4,10.33,2506085,Ksardas,i want whatever he's having
,,DT3,,Yucha-P - Thieves Night Trick [Insane],5.94,2:40,327,4,9.67,221362,tutuhaha,digitalhypno suiji
,,FM1,,Will Stetson - Lagtrain [########],6.18 | 6.59,4:06,147,3,9.5,2968671,Ryuusei Aika,official bill stetty stan account
,,FM2,,Comp - Gensou no Satellite [Extra],5.76 | 6.26,3:46,80 - 115 (115),5,9,63875,Shinxyn,Toe Hoe
,,FM3,,xi - Glorious Crown [Atsuro's Extra],6.36 | 6.64,1:57,225,3.5,9.3,1188172,Monstrata,"used to be everywhere, still is"
,,TB,,Daisuke Ishiwatari - One Dawn [Gamma Ray],6.44,5:32,138,4,9.4,1188847,Natteke desu,dizzy woozy fever nausea
,,Mappack,,,6.04,3:18,188,4.3,9.4,1554180,,"""5 redlines every downbeat"""